Name,URL,Activity,Location,Brands,Ads Count,Main Street Address,Main Postal Code,Main Address Locality,Additional Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRAVIS TECHNIK HOLDING GMBH,https://www.agriaffaires.co.uk/pros/list/1/gp/49.html,Dealer/ Distributor,"Germany - Hannover
                                                    (NI)",,1518 ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiffeisen Waren-Zentrale Rhein-Main AG,https://www.agriaffaires.co.uk/pros/list/322711-0/1/raiffeisen-waren-zentrale-rhein-main-ag.html,Dealer/ Distributor,"Germany - Saulheim
                                                    (NW)
                                                                        
                            (28 other addresses)","Valtra,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Amazone,                                                                             Pöttinger,                                                                             Lemken,                                                                             Fella,                                                                             Dewulf,                                                                             Strautmann,                                                                             Miedema,                                                                             Köckerling,                                                                             Maschio,                                                                             Binger",386 ads,Altenberger Straße 1a,50668,Köln - Germany,Köln (NW), Alsfeld (NW), Altenstadt-Lindheim (NW), Dernau (NW), Diez (NW), Flammersfeld (NW), Geldern (NW), Grünstadt (NW), Gundersheim (NW), Herxheim (NW), Kastellaun (NW), Kusel (NW), Lebach (NW), Lorsch (NW), Mutterstadt (NW), Nittel (NW), Piesport (NW), Prüm (NW), Riedstadt-Wolfskehlen (NW), Bornheim-Roisdorf (NW), Saarburg (NW), Wipperfürth (NW), Wittlich (NW), Wölfersheim-Berstadt (NW), Rommerskirchen (NW), Zülpich (NW), Zweibrücken (NW), Kruft (NW), Saulheim (NW),,,,,,,,,,,,
A1 Gebrauchtmaschinen - Center REBO LANDMASCHINEN GMBH,https://www.agriaffaires.co.uk/pros/list/68129-0/1/a1-gebrauchtmaschinen-center-rebo-landmaschinen-gmbh.html,Dealer/ Distributor,"Germany - Damme-Borringhausen
                                                    (NI)
                                                                        
                            (15 other addresses)",John Deere,370 ads,Ringstrasse 4,49434,Neuenkirchen-Vörden - Germany,Neuenkirchen-Vörden (NI), Albersdorf (NI), Bordelum (NI), Dätgen (NI), Diekhusen-Fahrstedt (NI), Edewecht (NI), Lütjenburg (NI), Neuenkirchen-Vörden (NI), Nordenham (NI), Aurich-Schirum (NI), Damme-Borringhausen (NI), Edewecht (NI), Neuenkirchen-Vörden (NI), Schwaförden (NI), Visbeck-Rechterfeld (NI), Sörup (NI),,,,,,,,,,,,,,,,,,,,,,,,,
August Bruns Landmaschinen,https://www.agriaffaires.co.uk/pros/list/180175-0/1/august-bruns-landmaschinen.html,Dealer/ Distributor,"Germany - Cloppenburg
                                                    (NI)
                                                                        
                            (18 other addresses)","New Holland Construction,                                                                             Kuhn,                                                                             Quivogne,                                                                             Strautmann,                                                                             New Holland Agriculture,                                                                             Rauch,                                                                             Köckerling,                                                                             Agrifac,                                                                             Alo - Quicke,                                                                             CHD,                                                                             Bruns",324 ads,Zum Brook 30,49661,Cloppenburg - Germany,Cloppenburg (NI), Aurich-Sandhorst (NI), Bösel (NI), Cloppenburg (NI), Haren-Emmeln (NI), Klein Bünzow (NI), Langenstein (NI), Lindern (NI), Rastede-Liethe (NI), Rhede (NI), Aurich (NI), Bösel (NI), Haren-Emmeln (NI), Klein Bünzow (NI), Kundenadresse (NI), Langenstein (NI), Lindern (NI), Rastede (NI), Rhede / Brual (NI),,,,,,,,,,,,,,,,,,,,,,
Fritz Brandt,https://www.agriaffaires.co.uk/pros/list/80278-0/1/fritz-brandt.html,Dealer/ Distributor,"Germany - Oyten
                                                    (NI)
                                                                        
                            (One other address)","Claas,                                                                             Deutz-Fahr,                                                                             New Holland,                                                                             Fendt,                                                                             Hürlimann,                                                                             JCB,                                                                             John Deere,                                                                             Lamborghini,                                                                             Massey Ferguson,                                                                             Steyr,                                                                             Doosan,                                                                             Manitou,                                                                             Kubota,                                                                             Bobcat,                                                                             Merlo,                                                                             Yanmar,                                                                             Renault,                                                                             Fiat,                                                                             Krone,                                                                             Kemper,                                                                             Case,                                                                             Mercedes-Benz,                                                                             McCormick,                                                                             Welger,                                                                             Iseki,                                                                             Geringhoff,                                                                             Briri,                                                                             Fortschritt",323 ads,Hodenberger Strasse 40,28355,Bremen - Germany,Bremen (HB), Oyten (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clemens Hoping GmbH,https://www.agriaffaires.co.uk/pros/list/558655-0/1/clemens-hoping-gmbh.html,Dealer/ Distributor,"Germany - Bakum
                                                    (NI)
                                                                        
                            (4 other addresses)",,297 ads,Kapellenweg 3,49456,Bakum - Germany,Bakum (NI), Bakum (NI), Bakum-Harme (NI)," Bakum	 (NI)", Bakum-Harme (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotschenreuther Forst- & Landtechnik GmbH & Co. KG,https://www.agriaffaires.co.uk/pros/list/2000975-0/1/kotschenreuther-forst-landtechnik-gmbh-co-kg.html,Vehicle/equipment Wholesale,"Germany - Plauen
                                                    (BY)
                                                                        
                            (3 other addresses)",,296 ads,Neufang 153,96349,Steinwiesen - Germany,Steinwiesen (BY), Plauen (BY), Steinwiesen-Neufang (BY), Münchberg (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hans Völk GmbH & Co. KG,https://www.agriaffaires.co.uk/pros/list/542383-0/1/hans-volk-gmbh-co-kg.html,Vehicle/equipment Wholesale,"Germany - Soyen
                                                    (BY)
                                                                        
                            (One other address)",,279 ads,Habacher Straße 1,82387,Antdorf - Germany,Antdorf (BY), Soyen (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zürn Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/356567-0/1/zu-rn-landtechnik-gmbh.html,Dealer/ Distributor,"Germany - Schoental-Westernhausen
                                                    (BW)
                                                                        
                            (18 other addresses)",John Deere,276 ads,Kapellenstr. 1,74214,SCHÖNTAL-WESTERNHAUSEN - Germany,SCHÖNTAL-WESTERNHAUSEN (BW), Emskirchen (BW), Schoental-Westerhausen (BW), Merklingen (BW), Altenschönbach (BW), Aalen-Attenhofen (BW), Buchen (BW), Euerhausen (BW), Merklingen (BW), Neresheim-Ohmenheim (BW), Neubrunn (BW), Schoental-Westernhausen (BW), Untermünkheim (BW), Ravenstein-Merchingen (BW), Inneringen (BW), Kanzach (BW), Oberessendorf (BW), Holzgünz - Schwaighausen (BW), Windsbach (BW),,,,,,,,,,,,,,,,,,,,,,
Fricke Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/126742-0/1/fricke-landtechnik-gmbh.html,Dealer/ Distributor,"Germany - Martensdorf
                                                    (MV)
                                                                        
                            (6 other addresses)","Claas,                                                                             Fendt",233 ads,Klänhammer Weg 02,17109,Demmin - Germany,Demmin (MV), Gustow (MV), Martensdorf (MV), Neubrandenburg (MV), Röbel/Müritz (MV), Züssow (MV), Röbel (MV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.O.B. Landtechnik AG,https://www.agriaffaires.co.uk/pros/list/1113995-0/1/d-o-b-landtechnik-ag.html,Vehicle/equipment Wholesale,"Germany - Lauterhofen
                                                    (BY)
                                                                        
                            (One other address)",,222 ads,Bukaresterstraße 8,93055,Regensburg - Germany,Regensburg (BY), Lauterhofen (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1-Traktor.de,https://www.agriaffaires.co.uk/pros/list/204331-0/1/a1-traktor-de.html,Dealer/ Distributor,"Germany - Sittensen
                                                    (NI)
                                                                        
                            (7 other addresses)","John Deere,                                                                             Kuhn,                                                                             Carre,                                                                             Samson,                                                                             Strautmann,                                                                             Kramer,                                                                             Rauch,                                                                             Brantner,                                                                             Bergmann,                                                                             Knies",219 ads,Rudolf-Diesel-Str. 7,27419,Sittensen - Germany,Sittensen (NI), Sittensen (NI), Auf Anfrage (NI), Cuxhaven (NI), Hambergen (NI), Rotenburg (NI), Sittensen (NI), Bremervörde (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Gruber KG,https://www.agriaffaires.co.uk/pros/list/193077-0/1/thomas-gruber-kg.html,Dealer/ Distributor,"Germany - Ampfing
                                                    (BY)
                                                                        
                            (8 other addresses)","Case IH,                                                                             Steyr,                                                                             Merlo,                                                                             Amazone,                                                                             Fella,                                                                             Fliegl,                                                                             Kongskilde,                                                                             Silomaxx,                                                                             Rotoland,                                                                             Farmland",218 ads,Schweppermannstr. 36,84539,Ampfing - Germany,Ampfing (BY), Waldkraiburg (BY), Waldkraiburg (BY), Waldkraiburg (BY), Waldkraiburg (BY), Waldkraiburg (BY), Waldkraiburg (BY), Waldkraiburg (BY), Ampfing (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Lankhorst & Co. GmbH,https://www.agriaffaires.co.uk/pros/list/242507-0/1/d-lankhorst-co-gmbh.html,Dealer/ Distributor,"Germany - Neuenhaus
                                                    (NI)
                                                                        
                            (5 other addresses)","Deutz-Fahr,                                                                             Same,                                                                             Lamborghini,                                                                             Caterpillar,                                                                             Krone,                                                                             Giant,                                                                             Kverneland,                                                                             Amazone,                                                                             Lemken,                                                                             Joskin,                                                                             Horsch,                                                                             DeLaval,                                                                             Maschio",205 ads,Darwinstraße 1,48488,Emsbüren - Germany,Emsbüren (NI), Neuenhaus (NI), Friesoythe (NI), Klein Berßen (NI), Emlichheim (NI), Rosendahl (NW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrikontor Neuholland GmbH,https://www.agriaffaires.co.uk/pros/list/458958-0/1/agrikontor-neuholland-gmbh.html,Dealer/ Distributor,"Germany - Liebenwalde
                                                    (BR)
                                                                        
                            (4 other addresses)",,200 ads,Pappelhof 2,16775,Löwenberger Land OT Grüneberg - Germany,Löwenberger Land OT Grüneberg (BR), Edeleben (BR), Liebenwalde (BR), Auf Anfrage (BR), Lindow (Mark) (BR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eggers Landmaschinen GmbH & Co.KG,https://www.agriaffaires.co.uk/pros/list/246601-0/1/eggers-landmaschinen-gmbh-co-kg.html,Dealer/ Distributor,"Germany - Suhlendorf
                                                    (NI)
                                                                        
                            (9 other addresses)",Massey Ferguson,199 ads,Salzwedeler Straße 8,29562,Suhlendorf - Germany,Suhlendorf (NI), Dannenberg-Schaafhausen (NI), Ebstorf (NI), Suhlendorf (NI), Ebstorf (NI), Wittingen-Ohrdorf (NI), Dannenberg-Schaafhausen (NI), Wahrenholz (NI), Wahrenholz (NI), Wittingen-Ohrdorf (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahr & Schwebel e.K.,https://www.agriaffaires.co.uk/pros/list/1711998-0/1/mahr-schwebel-e-k.html,Dealer/ Distributor,"Germany - Groß-Bieberau
                                                    (HE)
                                                                        
                            (One other address)",,179 ads,"Am Schaubacher Berg 14
                                                                    Standard",64401,Gross-Bieberau - Germany,Gross-Bieberau (HE), Groß-Bieberau (HE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fischer Landmaschinen GmbH,https://www.agriaffaires.co.uk/pros/list/6571-0/1/fischer-landmaschinen-gmbh.html,Dealer/ Distributor,"Germany - Worms
                                                    (RP)
                                                                        
                            (2 other addresses)","John Deere,                                                                             Kuhn,                                                                             Pellenc,                                                                             Stihl,                                                                             Honda,                                                                             Sabo",171 ads,Friedelsheimer Strasse 22,67150,Niederkirchen - Germany,Niederkirchen (RP), Worms (RP), Zweibrücken (RP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiffeisen Technik HSL GmbH,https://www.agriaffaires.co.uk/pros/list/2010460-0/1/raiffeisen-technik-hsl-gmbh.html,Dealer/ Distributor,"Germany - Bützow
                                                    (SH)
                                                                        
                            (5 other addresses)",,170 ads,Rögen 1,23843,Bad Oldesloe - Germany,Bad Oldesloe (SH), Bützow (SH), Gadebusch (SH), Kiel (SH), Goldberg (SH), Lanken (SH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRINUBA GMBH,https://www.agriaffaires.co.uk/pros/list/1688779-0/1/agrinuba-gmbh.html,Vehicle/equipment Wholesale,"Germany - Prenzlau
                                                    (BR)
                                                                        
                            (One other address)",,160 ads,Brüssower Allee 92,17291,Prenzlau - Germany,Prenzlau (BR), Prenzlau (BR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Centrum Landsberg,https://www.agriaffaires.co.uk/pros/list/192398-0/1/claas-centrum-landsberg.html,Vehicle/equipment Wholesale,"Germany - Landsberg
                                                    (ST)
                                                                        
                            (2 other addresses)",Claas,158 ads,"FIRST CLAAS USED Center
                                                                    Köthener Str. 8",6188,Landsberg - Germany,Landsberg (ST), Landsberg (ST), Landsberg (ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorn Gmbh,https://www.agriaffaires.co.uk/pros/list/227508-0/1/dorn-gmbh.html,Vehicle/equipment Wholesale,"Germany - Bruckberg
                                                    (BY)
                                                                        
                            (One other address)",,156 ads,Kreut 6,84079,Bruckberg - Germany,Bruckberg (BY), Bruckberg (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Württemberg GmbH - Langenau,https://www.agriaffaires.co.uk/pros/list/682577-0/1/claas-wurttemberg-gmbh-langenau.html,Dealer/ Distributor,"Germany - Langenau
                                                    (BW)",Claas,152 ads,Magirusstr. 17,89129,Langenau - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVD Bernard Krone GmbH Alt-Mölln,https://www.agriaffaires.co.uk/pros/list/218093-0/1/lvd-bernard-krone-gmbh-alt-molln.html,Vehicle/equipment Wholesale,"Germany - Altefähr/ Rügen
                                                    (SH)
                                                                        
                            (4 other addresses)","Claas,                                                                             New Holland,                                                                             Fendt,                                                                             John Deere,                                                                             Krone,                                                                             Case,                                                                             Lemken,                                                                             Weidemann,                                                                             Horsch,                                                                             Kramer",150 ads,Am Stecknitztal 21,23881,Alt-Mölln - Germany,Alt-Mölln (SH), Altefähr/ Rügen (SH), Groß Bölkow (SH), Lübesse (SH), Upahl (SH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrartechnik Altenberge GmbH,https://www.agriaffaires.co.uk/pros/list/352709-0/1/agrartechnik-altenberge-gmbh.html,Dealer/ Distributor,"Germany - Altenberge
                                                    (NW)","New Holland,                                                                             JCB,                                                                             Vermeer,                                                                             Kverneland,                                                                             Vicon,                                                                             Siloking,                                                                             Agrifac,                                                                             Reisch,                                                                             Alö,                                                                             Akpil",148 ads,Kümperstiege 2,48341,Altenberge - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leinweber Landtechnik GmbH & Co. KG,https://www.agriaffaires.co.uk/pros/list/492764-0/1/leinweber-landtechnik-gmbh-co-kg.html,Dealer/ Distributor,"Germany - Neuhof
                                                    (HE)
                                                                        
                            (One other address)",,145 ads,In der Eller 5,36119,Neuhof - Dorfborn - Germany,Neuhof - Dorfborn (HE), Neuhof (HE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVB,https://www.agriaffaires.co.uk/pros/list/190813-0/1/lvb.html,Dealer/ Distributor,"Germany - Barsinghausen OT Groß Munzel
                                                    (NI)",,139 ads,An der Zuckerfabrik 2,30890,Barsinghausen OT Groß Munzel - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZG Raiffeisen Technik GmbH,https://www.agriaffaires.co.uk/pros/list/1024566-0/1/zg-raiffeisen-technik-gmbh.html,Vehicle/equipment Wholesale,"Germany - Bühl
                                                    (BW)
                                                                        
                            (One other address)","Valtra,                                                                             Fendt,                                                                             Horsch,                                                                             Stihl,                                                                             Honda,                                                                             Agria,                                                                             Güttler,                                                                             Maschio,                                                                             Kaweco,                                                                             Irus",133 ads,Lauterbergstr. 1-5,76137,Karlsruhe - Germany,Karlsruhe (BW), Bühl (BW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seiler GmbH & Co.KG,https://www.agriaffaires.co.uk/pros/list/409577-0/1/seiler-gmbh-co-kg.html,Dealer/ Distributor,"Germany - Burghaslach
                                                    (BW)
                                                                        
                            (2 other addresses)","Case IH,                                                                             JCB,                                                                             Steyr,                                                                             Krone,                                                                             Kuhn,                                                                             Amazone,                                                                             Weidemann,                                                                             Fliegl,                                                                             Sampo,                                                                             Keenan,                                                                             Dragone,                                                                             Hydrac,                                                                             Evers,                                                                             Alo - Quicke",132 ads,An der Eich 8,91522,Ansbach - Germany,Ansbach (BY), Burghaslach (BW), Parsberg (BW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mecklenburger Landtechnik,https://www.agriaffaires.co.uk/pros/list/237481-0/1/mecklenburger-landtechnik.html,Dealer/ Distributor,"Germany - Reddelich
                                                    (MV)
                                                                        
                            (3 other addresses)",Claas,130 ads,Tarnower Landweg 8,18276,Mühlengeez - Germany,Mühlengeez (MV), Laage (MV), Reddelich (MV), Teterow (MV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lankhorst Nord GmbH,https://www.agriaffaires.co.uk/pros/list/1881242-0/1/lankhorst-nord-gmbh.html,Dealer/ Distributor,"Germany - Filsum
                                                    (NI)
                                                                        
                            (6 other addresses)",,129 ads,Zu den Norderstücken 1,26607,Niedersachsen - Aurich - Germany,Niedersachsen - Aurich (NI), Kunde (NI), Filsum (NI), Berne (NI), Wiefelstede-Spohle (NI), Jever (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermann Wagener,https://www.agriaffaires.co.uk/pros/list/215937-0/1/hermann-wagener.html,Garage owner,"Germany - Bad Wildungen-Wega
                                                    (HE)
                                                                        
                            (9 other addresses)",John Deere,123 ads,Ederstrasse 34,34537,Bad Wildungen - Germany,Bad Wildungen (HE), Bad Trennstedt (HE), Bad Wildungen - Wega (HE), Bad Wildungen-Wega (HE), Ebsdorfergrund - Heskem (HE), Bad Wildungen-Wega (HE), Grebenstein (HE), Lennestadt - Oedingen (HE), Neukirchen (HE), Wartenberg Angersbach (HE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGER & WEDEMEYER,https://www.agriaffaires.co.uk/pros/list/154062-0/1/mager-wedemeyer.html,Dealer/ Distributor,"Germany - Oyten
                                                    (NI)","Case IH,                                                                             Steyr",115 ads,"Gebrauchtmaschinenzentrum
                                                                    Margarete-Steiff-Str. 11",28876,Oyten - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Südostbayern GmbH - Töging,https://www.agriaffaires.co.uk/pros/list/249709-0/1/claas-sudostbayern-gmbh-toging.html,Dealer/ Distributor,"Germany - Krumbach
                                                    (BY)
                                                                        
                            (40 other addresses)",Claas,112 ads,Franz-Marc-Str. 12,84513,Töging am Inn - Germany,Töging am Inn (BY), Grimma / OT Mutzschen (SN), Hartmannsdorf (SN), Krumbach (BY), Frauenstein (SN), Hösbach (BY), Herrenberg Gültstein (BW), Neuenstein (BW), Osterburken (BW), Tuningen (BW), Herbolzheim (BW), Obersöchering (BY), Grabenstätt-Erlstätt (BY), Mengkofen (BY), Moosthenning (BY), Vohburg (BY), Allershausen (BY), Dasing (BY), Donauwörth (BY), Westerheim (BY), Oberessendorf (BW), Langenau (BW), Heilsbronn (BY), Aurach (BY), Wassertrüdingen (BY), Schwend (BY), Freystadt (BY), Schwandorf (BY), Altenstadt a.d. Waldnaab (BY), Bad Abbach (BY), Cham (BY), Hutthurm (BY), Arnstorf (BY), Moos-Langenisarhofen (BY), Gefrees (BY), Schlüsselfeld-Elsendorf (BY), Hollfeld (BY), Lichtenfels (BY), Gollhofen (BY), Werneck (BY), Wülfershausen (BY)
